TIME GRAPH   ORDER   SIZE    AG
0.00030	   Digraph	020	180	     fbell	
0.00034	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00031	   Digraph	020	180	     fbell	
0.00034	   Digraph	020	180	     fbell	
0.00046	   Digraph	020	180	     fbell	
0.00033	   Digraph	020	180	     fbell	
0.00032	   Digraph	020	180	     fbell	
0.00032	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00031	   Digraph	020	180	     fbell	
0.00031	   Digraph	020	180	     fbell	
0.00033	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00033	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00031	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00033	   Digraph	020	180	     fbell	
0.00032	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00982	   Digraph	020	180	     fbell	
0.00031	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00030	   Digraph	020	180	     fbell	
0.00064	   Digraph	020	180	      dijk	
0.00060	   Digraph	020	180	      dijk	
0.00059	   Digraph	020	180	      dijk	
0.00059	   Digraph	020	180	      dijk	
0.00063	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00057	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00057	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00074	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00059	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00081	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00058	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00055	   Digraph	020	180	      dijk	
0.00056	   Digraph	020	180	      dijk	
0.01235	   Digraph	021	180	      bell	
0.00880	   Digraph	021	180	      bell	
0.01705	   Digraph	021	180	      bell	
0.00901	   Digraph	021	180	      bell	
0.01381	   Digraph	021	180	      bell	
0.00864	   Digraph	021	180	      bell	
0.01328	   Digraph	021	180	      bell	
0.00858	   Digraph	021	180	      bell	
0.01325	   Digraph	021	180	      bell	
0.00856	   Digraph	021	180	      bell	
0.02040	   Digraph	021	180	      bell	
0.00769	   Digraph	021	180	      bell	
0.01250	   Digraph	021	180	      bell	
0.00852	   Digraph	021	180	      bell	
0.01337	   Digraph	021	180	      bell	
0.00855	   Digraph	021	180	      bell	
0.01329	   Digraph	021	180	      bell	
0.00854	   Digraph	021	180	      bell	
0.01323	   Digraph	021	180	      bell	
0.00858	   Digraph	021	180	      bell	
0.01338	   Digraph	021	180	      bell	
0.00886	   Digraph	021	180	      bell	
0.01326	   Digraph	021	180	      bell	
0.00862	   Digraph	021	180	      bell	
0.01332	   Digraph	021	180	      bell	
0.00872	   Digraph	021	180	      bell	
0.01315	   Digraph	021	180	      bell	
0.00861	   Digraph	021	180	      bell	
0.01518	   Digraph	021	180	      bell	
0.00765	   Digraph	021	180	      bell	
0.01285	   Digraph	021	180	      bell	
0.00869	   Digraph	021	180	      bell	
0.01317	   Digraph	021	180	      bell	
0.00862	   Digraph	021	180	      bell	
0.01310	   Digraph	021	180	      bell	
0.00867	   Digraph	021	180	      bell	
0.01309	   Digraph	021	180	      bell	
