REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.02916	0.00285	0.02504	0.03820	   Digraph	048	180	      bell	
100	0.00040	0.00002	0.00038	0.00048	   Digraph	048	180	     fbell	
100	0.00151	0.00151	0.00127	0.01581	   Digraph	048	180	      dijk	
100	0.03030	0.00315	0.02579	0.04036	   Digraph	049	180	      bell	
100	0.00036	0.00001	0.00035	0.00040	   Digraph	049	180	     fbell	
100	0.00139	0.00044	0.00129	0.00575	   Digraph	049	180	      dijk	
100	0.03044	0.00243	0.02622	0.03685	   Digraph	050	180	      bell	
100	0.00050	0.00090	0.00040	0.00944	   Digraph	050	180	     fbell	
100	0.00135	0.00044	0.00128	0.00574	   Digraph	050	180	      dijk	
100	0.03114	0.00258	0.02668	0.03691	   Digraph	051	180	      bell	
100	0.00041	0.00002	0.00039	0.00049	   Digraph	051	180	     fbell	
100	0.00147	0.00044	0.00137	0.00582	   Digraph	051	180	      dijk	
100	0.03187	0.00270	0.02767	0.04064	   Digraph	052	180	      bell	
100	0.00052	0.00002	0.00050	0.00057	   Digraph	052	180	     fbell	
100	0.00149	0.00135	0.00134	0.01489	   Digraph	052	180	      dijk	
100	0.03320	0.00296	0.03028	0.04128	   Digraph	053	180	      bell	
100	0.00048	0.00001	0.00046	0.00052	   Digraph	053	180	     fbell	
100	0.00153	0.00044	0.00143	0.00589	   Digraph	053	180	      dijk	
100	0.03337	0.00292	0.02876	0.04428	   Digraph	054	180	      bell	
100	0.00052	0.00084	0.00043	0.00884	   Digraph	054	180	     fbell	
100	0.00148	0.00044	0.00141	0.00590	   Digraph	054	180	      dijk	
100	0.03404	0.00307	0.02925	0.04413	   Digraph	055	180	      bell	
100	0.00052	0.00044	0.00045	0.00485	   Digraph	055	180	     fbell	
100	0.00159	0.00125	0.00144	0.01403	   Digraph	055	180	      dijk	
100	0.03460	0.00280	0.02958	0.04433	   Digraph	056	180	      bell	
100	0.00066	0.00119	0.00052	0.01253	   Digraph	056	180	     fbell	
100	0.00154	0.00044	0.00147	0.00594	   Digraph	056	180	      dijk	
100	0.03517	0.00244	0.03229	0.03955	   Digraph	057	180	      bell	
100	0.00065	0.00099	0.00050	0.00954	   Digraph	057	180	     fbell	
100	0.00154	0.00044	0.00146	0.00592	   Digraph	057	180	      dijk	
100	0.03604	0.00273	0.03130	0.04521	   Digraph	058	180	      bell	
100	0.00070	0.00044	0.00063	0.00502	   Digraph	058	180	     fbell	
100	0.00182	0.00150	0.00156	0.01599	   Digraph	058	180	      dijk	
100	0.03672	0.00302	0.03195	0.04640	   Digraph	059	180	      bell	
100	0.00050	0.00080	0.00041	0.00845	   Digraph	059	180	     fbell	
100	0.00161	0.00044	0.00152	0.00596	   Digraph	059	180	      dijk	
100	0.03813	0.00324	0.03193	0.04746	   Digraph	060	180	      bell	
100	0.00041	0.00001	0.00039	0.00046	   Digraph	060	180	     fbell	
100	0.00189	0.00156	0.00158	0.01611	   Digraph	060	180	      dijk	
100	0.03866	0.00238	0.03429	0.04229	   Digraph	061	180	      bell	
100	0.00048	0.00044	0.00041	0.00486	   Digraph	061	180	     fbell	
100	0.00166	0.00045	0.00156	0.00608	   Digraph	061	180	      dijk	
