735000	      fibo	020	180	
604000	      fibo	020	180	
621000	      fibo	020	180	
598000	      fibo	020	180	
630000	      fibo	020	180	
621000	      fibo	020	180	
609000	      fibo	020	180	
605000	      fibo	020	180	
594000	      fibo	020	180	
617000	      fibo	020	180	
599000	      fibo	020	180	
619000	      fibo	020	180	
600000	      fibo	020	180	
775000	      fibo	020	180	
627000	      fibo	020	180	
658000	      fibo	020	180	
593000	      fibo	020	180	
592000	      fibo	020	180	
631000	      fibo	020	180	
590000	      fibo	020	180	
629000	      fibo	020	180	
590000	      fibo	020	180	
597000	      fibo	020	180	
639000	      fibo	020	180	
598000	      fibo	020	180	
598000	      fibo	020	180	
599000	      fibo	020	180	
638000	      fibo	020	180	
620000	      fibo	020	180	
649000	      fibo	020	180	
596000	      fibo	020	180	
593000	      fibo	020	180	
590000	      fibo	020	180	
591000	      fibo	020	180	
593000	      fibo	020	180	
588000	      fibo	020	180	
607000	      fibo	020	180	
606000	      fibo	020	180	
603000	      fibo	020	180	
603000	      fibo	020	180	
617000	      fibo	020	180	
603000	      fibo	020	180	
590000	      fibo	020	180	
589000	      fibo	020	180	
588000	      fibo	020	180	
584000	      fibo	020	180	
617000	      fibo	020	180	
586000	      fibo	020	180	
589000	      fibo	020	180	
588000	      fibo	020	180	
613000	      fibo	020	180	
586000	      fibo	020	180	
590000	      fibo	020	180	
586000	      fibo	020	180	
586000	      fibo	020	180	
614000	      fibo	020	180	
588000	      fibo	020	180	
587000	      fibo	020	180	
587000	      fibo	020	180	
613000	      fibo	020	180	
597000	      fibo	020	180	
647000	      fibo	020	180	
645000	      fibo	020	180	
639000	      fibo	020	180	
639000	      fibo	020	180	
652000	      fibo	020	180	
639000	      fibo	020	180	
637000	      fibo	020	180	
637000	      fibo	020	180	
632000	      fibo	020	180	
596000	      fibo	020	180	
618000	      fibo	020	180	
605000	      fibo	020	180	
673000	      fibo	020	180	
597000	      fibo	020	180	
595000	      fibo	020	180	
620000	      fibo	020	180	
597000	      fibo	020	180	
598000	      fibo	020	180	
594000	      fibo	020	180	
615000	      fibo	020	180	
608000	      fibo	020	180	
630000	      fibo	020	180	
593000	      fibo	020	180	
593000	      fibo	020	180	
626000	      fibo	020	180	
611000	      fibo	020	180	
594000	      fibo	020	180	
594000	      fibo	020	180	
596000	      fibo	020	180	
593000	      fibo	020	180	
618000	      fibo	020	180	
596000	      fibo	020	180	
623000	      fibo	020	180	
596000	      fibo	020	180	
622000	      fibo	020	180	
593000	      fibo	020	180	
594000	      fibo	020	180	
593000	      fibo	020	180	
593000	      fibo	020	180	
