AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00109	0.00004	0.00104	0.00114	   Digraph	050	049	       vec	
0.00119	0.00017	0.00108	0.00274	   Digraph	050	050	      fibo	
0.00097	0.00004	0.00090	0.00122	   Digraph	050	050	       bin	
0.00111	0.00004	0.00106	0.00129	   Digraph	050	050	       vec	
0.00122	0.00059	0.00104	0.00703	   Digraph	050	051	      fibo	
0.00084	0.00021	0.00074	0.00287	   Digraph	050	051	       bin	
0.00110	0.00009	0.00103	0.00166	   Digraph	050	051	       vec	
0.00117	0.00013	0.00105	0.00175	   Digraph	050	052	      fibo	
0.00087	0.00008	0.00080	0.00129	   Digraph	050	052	       bin	
0.00111	0.00006	0.00104	0.00142	   Digraph	050	052	       vec	
0.00113	0.00009	0.00104	0.00182	   Digraph	050	053	      fibo	
0.00080	0.00003	0.00074	0.00084	   Digraph	050	053	       bin	
0.00108	0.00004	0.00103	0.00114	   Digraph	050	053	       vec	
0.00116	0.00004	0.00108	0.00128	   Digraph	050	054	      fibo	
0.00100	0.00017	0.00091	0.00267	   Digraph	050	054	       bin	
0.00115	0.00027	0.00107	0.00380	   Digraph	050	054	       vec	
0.00128	0.00004	0.00120	0.00141	   Digraph	050	055	      fibo	
0.00099	0.00003	0.00092	0.00103	   Digraph	050	055	       bin	
0.00112	0.00004	0.00107	0.00120	   Digraph	050	055	       vec	
0.00127	0.00005	0.00119	0.00151	   Digraph	050	056	      fibo	
0.00106	0.00008	0.00097	0.00148	   Digraph	050	056	       bin	
0.00113	0.00006	0.00107	0.00149	   Digraph	050	056	       vec	
0.00117	0.00015	0.00104	0.00202	   Digraph	050	057	      fibo	
0.00085	0.00022	0.00075	0.00293	   Digraph	050	057	       bin	
0.00109	0.00004	0.00104	0.00121	   Digraph	050	057	       vec	
0.00129	0.00005	0.00119	0.00152	   Digraph	050	058	      fibo	
0.00121	0.00004	0.00114	0.00147	   Digraph	050	058	       bin	
0.00116	0.00004	0.00111	0.00123	   Digraph	050	058	       vec	
0.00112	0.00004	0.00104	0.00130	   Digraph	050	059	      fibo	
0.00081	0.00004	0.00075	0.00094	   Digraph	050	059	       bin	
0.00108	0.00004	0.00103	0.00116	   Digraph	050	059	       vec	
0.00118	0.00024	0.00105	0.00342	   Digraph	050	060	      fibo	
0.00082	0.00005	0.00075	0.00118	   Digraph	050	060	       bin	
0.00108	0.00004	0.00103	0.00113	   Digraph	050	060	       vec	
0.00143	0.00005	0.00135	0.00168	   Digraph	050	061	      fibo	
0.00143	0.00003	0.00137	0.00149	   Digraph	050	061	       bin	
0.00119	0.00003	0.00115	0.00124	   Digraph	050	061	       vec	
0.00152	0.00004	0.00144	0.00162	   Digraph	050	062	      fibo	
0.00145	0.00003	0.00139	0.00150	   Digraph	050	062	       bin	
0.00122	0.00021	0.00116	0.00329	   Digraph	050	062	       vec	
0.00118	0.00004	0.00110	0.00129	   Digraph	050	063	      fibo	
0.00093	0.00003	0.00087	0.00099	   Digraph	050	063	       bin	
0.00112	0.00004	0.00107	0.00119	   Digraph	050	063	       vec	
0.00117	0.00005	0.00109	0.00138	   Digraph	050	064	      fibo	
0.00083	0.00004	0.00077	0.00094	   Digraph	050	064	       bin	
0.00109	0.00003	0.00105	0.00114	   Digraph	050	064	       vec	
0.00122	0.00029	0.00110	0.00405	   Digraph	050	065	      fibo	
0.00083	0.00003	0.00078	0.00089	   Digraph	050	065	       bin	
0.00110	0.00003	0.00105	0.00115	   Digraph	050	065	       vec	
0.00118	0.00004	0.00111	0.00134	   Digraph	050	066	      fibo	
0.00084	0.00003	0.00078	0.00090	   Digraph	050	066	       bin	
0.00109	0.00003	0.00105	0.00116	   Digraph	050	066	       vec	
0.00137	0.00004	0.00128	0.00154	   Digraph	050	067	      fibo	
0.00129	0.00006	0.00122	0.00180	   Digraph	050	067	       bin	
0.00121	0.00021	0.00114	0.00328	   Digraph	050	067	       vec	
0.00124	0.00004	0.00116	0.00138	   Digraph	050	068	      fibo	
0.00094	0.00003	0.00088	0.00097	   Digraph	050	068	       bin	
0.00112	0.00004	0.00108	0.00119	   Digraph	050	068	       vec	
0.00114	0.00004	0.00106	0.00127	   Digraph	050	069	      fibo	
0.00083	0.00003	0.00076	0.00086	   Digraph	050	069	       bin	
0.00118	0.00064	0.00105	0.00713	   Digraph	050	069	       vec	
0.00114	0.00004	0.00106	0.00123	   Digraph	050	070	      fibo	
0.00082	0.00003	0.00076	0.00087	   Digraph	050	070	       bin	
0.00110	0.00004	0.00105	0.00116	   Digraph	050	070	       vec	
0.00120	0.00004	0.00112	0.00137	   Digraph	050	071	      fibo	
0.00086	0.00003	0.00080	0.00090	   Digraph	050	071	       bin	
0.00111	0.00004	0.00106	0.00117	   Digraph	050	071	       vec	
0.00120	0.00020	0.00111	0.00320	   Digraph	050	072	      fibo	
0.00092	0.00003	0.00085	0.00096	   Digraph	050	072	       bin	
0.00112	0.00004	0.00108	0.00119	   Digraph	050	072	       vec	
0.00147	0.00021	0.00135	0.00304	   Digraph	050	073	      fibo	
0.00133	0.00011	0.00122	0.00182	   Digraph	050	073	       bin	
0.00121	0.00007	0.00115	0.00174	   Digraph	050	073	       vec	
0.00119	0.00022	0.00110	0.00329	   Digraph	050	074	      fibo	
0.00084	0.00004	0.00077	0.00098	   Digraph	050	074	       bin	
0.00111	0.00004	0.00105	0.00117	   Digraph	050	074	       vec	
0.00121	0.00016	0.00112	0.00275	   Digraph	050	075	      fibo	
0.00087	0.00007	0.00079	0.00122	   Digraph	050	075	       bin	
0.00113	0.00010	0.00106	0.00160	   Digraph	050	075	       vec	
0.00132	0.00021	0.00121	0.00337	   Digraph	050	076	      fibo	
0.00120	0.00006	0.00111	0.00160	   Digraph	050	076	       bin	
0.00118	0.00008	0.00112	0.00157	   Digraph	050	076	       vec	
0.00155	0.00006	0.00146	0.00177	   Digraph	050	077	      fibo	
0.00155	0.00003	0.00149	0.00160	   Digraph	050	077	       bin	
0.00123	0.00004	0.00119	0.00132	   Digraph	050	077	       vec	
0.00168	0.00008	0.00158	0.00203	   Digraph	050	078	      fibo	
0.00176	0.00021	0.00164	0.00374	   Digraph	050	078	       bin	
0.00125	0.00004	0.00121	0.00133	   Digraph	050	078	       vec	
0.00168	0.00010	0.00158	0.00227	   Digraph	050	079	      fibo	
0.00166	0.00003	0.00159	0.00178	   Digraph	050	079	       bin	
0.00126	0.00004	0.00121	0.00135	   Digraph	050	079	       vec	
0.00170	0.00006	0.00160	0.00202	   Digraph	050	080	      fibo	
0.00162	0.00022	0.00151	0.00370	   Digraph	050	080	       bin	
0.00124	0.00004	0.00119	0.00131	   Digraph	050	080	       vec	
0.00161	0.00005	0.00152	0.00181	   Digraph	050	081	      fibo	
0.00160	0.00003	0.00153	0.00170	   Digraph	050	081	       bin	
0.00124	0.00004	0.00120	0.00131	   Digraph	050	081	       vec	
0.00153	0.00004	0.00146	0.00170	   Digraph	050	082	      fibo	
0.00144	0.00021	0.00135	0.00355	   Digraph	050	082	       bin	
0.00123	0.00005	0.00118	0.00157	   Digraph	050	082	       vec	
0.00168	0.00004	0.00161	0.00186	   Digraph	050	083	      fibo	
0.00170	0.00003	0.00163	0.00186	   Digraph	050	083	       bin	
0.00125	0.00004	0.00121	0.00137	   Digraph	050	083	       vec	
0.00118	0.00005	0.00111	0.00134	   Digraph	050	084	      fibo	
0.00088	0.00003	0.00081	0.00095	   Digraph	050	084	       bin	
0.00114	0.00008	0.00107	0.00155	   Digraph	050	084	       vec	
0.00167	0.00006	0.00158	0.00190	   Digraph	050	085	      fibo	
0.00162	0.00002	0.00155	0.00166	   Digraph	050	085	       bin	
0.00125	0.00004	0.00121	0.00132	   Digraph	050	085	       vec	
0.00118	0.00004	0.00110	0.00132	   Digraph	050	086	      fibo	
0.00091	0.00004	0.00084	0.00115	   Digraph	050	086	       bin	
0.00116	0.00021	0.00108	0.00319	   Digraph	050	086	       vec	
0.00166	0.00006	0.00156	0.00193	   Digraph	050	087	      fibo	
0.00155	0.00007	0.00146	0.00191	   Digraph	050	087	       bin	
0.00126	0.00007	0.00120	0.00160	   Digraph	050	087	       vec	
0.00164	0.00019	0.00153	0.00342	   Digraph	050	088	      fibo	
0.00160	0.00002	0.00153	0.00164	   Digraph	050	088	       bin	
0.00127	0.00021	0.00120	0.00330	   Digraph	050	088	       vec	
0.00168	0.00005	0.00160	0.00185	   Digraph	050	089	      fibo	
0.00166	0.00002	0.00160	0.00171	   Digraph	050	089	       bin	
0.00128	0.00004	0.00123	0.00134	   Digraph	050	089	       vec	
0.00163	0.00006	0.00154	0.00196	   Digraph	050	090	      fibo	
0.00165	0.00003	0.00158	0.00170	   Digraph	050	090	       bin	
0.00128	0.00003	0.00123	0.00140	   Digraph	050	090	       vec	
0.00121	0.00005	0.00112	0.00140	   Digraph	050	091	      fibo	
0.00087	0.00003	0.00080	0.00090	   Digraph	050	091	       bin	
0.00113	0.00004	0.00108	0.00119	   Digraph	050	091	       vec	
0.00117	0.00008	0.00107	0.00172	   Digraph	050	092	      fibo	
0.00088	0.00009	0.00079	0.00131	   Digraph	050	092	       bin	
0.00117	0.00021	0.00108	0.00319	   Digraph	050	092	       vec	
0.00172	0.00007	0.00164	0.00210	   Digraph	050	093	      fibo	
0.00179	0.00002	0.00172	0.00184	   Digraph	050	093	       bin	
0.00129	0.00004	0.00124	0.00136	   Digraph	050	093	       vec	
0.00117	0.00007	0.00108	0.00160	   Digraph	050	094	      fibo	
0.00085	0.00003	0.00078	0.00088	   Digraph	050	094	       bin	
0.00113	0.00004	0.00107	0.00122	   Digraph	050	094	       vec	
0.00118	0.00005	0.00111	0.00142	   Digraph	050	095	      fibo	
0.00086	0.00002	0.00080	0.00089	   Digraph	050	095	       bin	
0.00114	0.00006	0.00108	0.00153	   Digraph	050	095	       vec	
0.00120	0.00010	0.00113	0.00200	   Digraph	050	096	      fibo	
0.00087	0.00003	0.00081	0.00091	   Digraph	050	096	       bin	
