TIME GRAPH   ORDER   SIZE    AG
0.00017	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00016	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00015	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00015	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00016	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00015	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00015	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00016	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00014	   Digraph	050	060	     fbell	
0.00013	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00012	   Digraph	050	060	     fbell	
0.00015	   Digraph	050	060	     fbell	
0.00094	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00091	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00091	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00095	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00091	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00092	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00092	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00095	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00092	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00092	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00091	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00092	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00091	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00091	   Digraph	050	060	      dijk	
0.00095	   Digraph	050	060	      dijk	
0.00097	   Digraph	050	060	      dijk	
0.00093	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00090	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00092	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00088	   Digraph	050	060	      dijk	
0.00093	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00091	   Digraph	050	060	      dijk	
0.00089	   Digraph	050	060	      dijk	
0.00087	   Digraph	050	060	      dijk	
0.01665	   Digraph	050	063	      bell	
0.01172	   Digraph	050	063	      bell	
0.01226	   Digraph	050	063	      bell	
0.01238	   Digraph	050	063	      bell	
0.01194	   Digraph	050	063	      bell	
0.01180	   Digraph	050	063	      bell	
0.01395	   Digraph	050	063	      bell	
0.01441	   Digraph	050	063	      bell	
0.01319	   Digraph	050	063	      bell	
0.01663	   Digraph	050	063	      bell	
0.01164	   Digraph	050	063	      bell	
0.01169	   Digraph	050	063	      bell	
0.01227	   Digraph	050	063	      bell	
0.01207	   Digraph	050	063	      bell	
0.01176	   Digraph	050	063	      bell	
0.01221	   Digraph	050	063	      bell	
0.01253	   Digraph	050	063	      bell	
0.01657	   Digraph	050	063	      bell	
0.01178	   Digraph	050	063	      bell	
0.01158	   Digraph	050	063	      bell	
0.01175	   Digraph	050	063	      bell	
0.01193	   Digraph	050	063	      bell	
0.01184	   Digraph	050	063	      bell	
0.01185	   Digraph	050	063	      bell	
0.01182	   Digraph	050	063	      bell	
0.01200	   Digraph	050	063	      bell	
0.01660	   Digraph	050	063	      bell	
0.01167	   Digraph	050	063	      bell	
0.01163	   Digraph	050	063	      bell	
0.01191	   Digraph	050	063	      bell	
0.01187	   Digraph	050	063	      bell	
0.01175	   Digraph	050	063	      bell	
0.01186	   Digraph	050	063	      bell	
0.01176	   Digraph	050	063	      bell	
0.01204	   Digraph	050	063	      bell	
0.01649	   Digraph	050	063	      bell	
0.01162	   Digraph	050	063	      bell	
0.01168	   Digraph	050	063	      bell	
0.01198	   Digraph	050	063	      bell	
0.01179	   Digraph	050	063	      bell	
0.01175	   Digraph	050	063	      bell	
0.01187	   Digraph	050	063	      bell	
0.01197	   Digraph	050	063	      bell	
0.01668	   Digraph	050	063	      bell	
0.01174	   Digraph	050	063	      bell	
0.01165	   Digraph	050	063	      bell	
0.01200	   Digraph	050	063	      bell	
0.01210	   Digraph	050	063	      bell	
0.01165	   Digraph	050	063	      bell	
0.01180	   Digraph	050	063	      bell	
0.01180	   Digraph	050	063	      bell	
0.01190	   Digraph	050	063	      bell	
0.01649	   Digraph	050	063	      bell	
0.01158	   Digraph	050	063	      bell	
0.01163	   Digraph	050	063	      bell	
0.01197	   Digraph	050	063	      bell	
0.01178	   Digraph	050	063	      bell	
0.01165	   Digraph	050	063	      bell	
0.01191	   Digraph	050	063	      bell	
0.01178	   Digraph	050	063	      bell	
0.01663	   Digraph	050	063	      bell	
0.01188	   Digraph	050	063	      bell	
0.01161	   Digraph	050	063	      bell	
0.01183	   Digraph	050	063	      bell	
0.01187	   Digraph	050	063	      bell	
0.01172	   Digraph	050	063	      bell	
0.01184	   Digraph	050	063	      bell	
0.01178	   Digraph	050	063	      bell	
0.01183	   Digraph	050	063	      bell	
0.01655	   Digraph	050	063	      bell	
0.01165	   Digraph	050	063	      bell	
0.01169	   Digraph	050	063	      bell	
0.01203	   Digraph	050	063	      bell	
0.01179	   Digraph	050	063	      bell	
0.01174	   Digraph	050	063	      bell	
0.01184	   Digraph	050	063	      bell	
0.01176	   Digraph	050	063	      bell	
0.01215	   Digraph	050	063	      bell	
0.01640	   Digraph	050	063	      bell	
0.01164	   Digraph	050	063	      bell	
0.01172	   Digraph	050	063	      bell	
0.01187	   Digraph	050	063	      bell	
0.01178	   Digraph	050	063	      bell	
0.01178	   Digraph	050	063	      bell	
0.01186	   Digraph	050	063	      bell	
0.01186	   Digraph	050	063	      bell	
0.01670	   Digraph	050	063	      bell	
0.01175	   Digraph	050	063	      bell	
0.01160	   Digraph	050	063	      bell	
0.01177	   Digraph	050	063	      bell	
0.01185	   Digraph	050	063	      bell	
0.01164	   Digraph	050	063	      bell	
0.01178	   Digraph	050	063	      bell	
0.01188	   Digraph	050	063	      bell	
0.01230	   Digraph	050	063	      bell	
0.01655	   Digraph	050	063	      bell	
0.01186	   Digraph	050	063	      bell	
0.01160	   Digraph	050	063	      bell	
0.01189	   Digraph	050	063	      bell	
0.01172	   Digraph	050	063	      bell	
0.00014	   Digraph	050	063	     fbell	
0.00011	   Digraph	050	063	     fbell	
0.00011	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00012	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00012	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00012	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00012	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00012	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00012	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00011	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00012	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00016	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00010	   Digraph	050	063	     fbell	
0.00013	   Digraph	050	063	     fbell	
0.00093	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00092	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00092	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00091	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00091	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00090	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00092	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00093	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00091	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00090	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00090	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00092	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00091	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00092	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00094	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00091	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00088	   Digraph	050	063	      dijk	
0.00089	   Digraph	050	063	      dijk	
0.00092	   Digraph	050	063	      dijk	
