AVG	STDV	MIN	MAX	GRAPH	V	E	DT
0.00137	0.00021	0.00132	0.00347	   Digraph	049	180	       vec	
0.00207	0.00101	0.00189	0.01189	   Digraph	050	180	      fibo	
0.00232	0.00086	0.00213	0.01067	   Digraph	050	180	       bin	
0.00139	0.00003	0.00138	0.00163	   Digraph	050	180	       vec	
0.00202	0.00076	0.00185	0.00954	   Digraph	051	180	      fibo	
0.00221	0.00028	0.00210	0.00417	   Digraph	051	180	       bin	
0.00152	0.00093	0.00140	0.01074	   Digraph	051	180	       vec	
0.00212	0.00096	0.00193	0.01145	   Digraph	052	180	      fibo	
0.00220	0.00021	0.00213	0.00429	   Digraph	052	180	       bin	
0.00159	0.00101	0.00144	0.01141	   Digraph	052	180	       vec	
0.00224	0.00095	0.00202	0.01130	   Digraph	053	180	      fibo	
0.00224	0.00022	0.00217	0.00442	   Digraph	053	180	       bin	
0.00162	0.00102	0.00149	0.01177	   Digraph	053	180	       vec	
0.00140	0.00030	0.00128	0.00366	   Digraph	054	180	      fibo	
0.00107	0.00081	0.00094	0.00888	   Digraph	054	180	       bin	
0.00147	0.00081	0.00131	0.00931	   Digraph	054	180	       vec	
0.00220	0.00029	0.00209	0.00418	   Digraph	055	180	      fibo	
0.00240	0.00090	0.00225	0.01104	   Digraph	055	180	       bin	
0.00162	0.00003	0.00158	0.00168	   Digraph	055	180	       vec	
0.00215	0.00029	0.00205	0.00423	   Digraph	056	180	      fibo	
0.00236	0.00085	0.00221	0.01057	   Digraph	056	180	       bin	
0.00164	0.00003	0.00159	0.00171	   Digraph	056	180	       vec	
0.00230	0.00102	0.00213	0.01228	   Digraph	057	180	      fibo	
0.00249	0.00093	0.00232	0.01133	   Digraph	057	180	       bin	
0.00180	0.00108	0.00164	0.01257	   Digraph	057	180	       vec	
0.00223	0.00029	0.00212	0.00428	   Digraph	058	180	      fibo	
0.00252	0.00091	0.00236	0.01130	   Digraph	058	180	       bin	
0.00182	0.00102	0.00168	0.01201	   Digraph	058	180	       vec	
0.00243	0.00093	0.00225	0.01142	   Digraph	059	180	      fibo	
0.00255	0.00022	0.00248	0.00467	   Digraph	059	180	       bin	
0.00186	0.00098	0.00173	0.01161	   Digraph	059	180	       vec	
0.00243	0.00096	0.00222	0.01148	   Digraph	060	180	      fibo	
0.00249	0.00020	0.00240	0.00445	   Digraph	060	180	       bin	
0.00189	0.00091	0.00176	0.01077	   Digraph	060	180	       vec	
0.00236	0.00098	0.00216	0.01190	   Digraph	061	180	      fibo	
0.00264	0.00092	0.00244	0.01137	   Digraph	061	180	       bin	
0.00182	0.00004	0.00180	0.00211	   Digraph	061	180	       vec	
0.00253	0.00085	0.00232	0.01040	   Digraph	062	180	      fibo	
0.00269	0.00088	0.00251	0.01121	   Digraph	062	180	       bin	
0.00191	0.00022	0.00184	0.00404	   Digraph	062	180	       vec	
0.00243	0.00089	0.00225	0.01101	   Digraph	063	180	      fibo	
0.00260	0.00083	0.00243	0.01039	   Digraph	063	180	       bin	
0.00204	0.00105	0.00188	0.01250	   Digraph	063	180	       vec	
0.00252	0.00028	0.00240	0.00448	   Digraph	064	180	      fibo	
0.00266	0.00022	0.00258	0.00481	   Digraph	064	180	       bin	
0.00210	0.00101	0.00194	0.01195	   Digraph	064	180	       vec	
0.00260	0.00096	0.00237	0.01144	   Digraph	065	180	      fibo	
0.00280	0.00094	0.00258	0.01167	   Digraph	065	180	       bin	
0.00201	0.00004	0.00199	0.00228	   Digraph	065	180	       vec	
0.00180	0.00082	0.00158	0.00950	   Digraph	066	180	      fibo	
0.00128	0.00088	0.00110	0.00964	   Digraph	066	180	       bin	
0.00184	0.00020	0.00176	0.00383	   Digraph	066	180	       vec	
0.00268	0.00077	0.00251	0.01005	   Digraph	067	180	      fibo	
0.00288	0.00082	0.00271	0.01080	   Digraph	067	180	       bin	
0.00222	0.00098	0.00208	0.01196	   Digraph	067	180	       vec	
0.00269	0.00088	0.00248	0.01096	   Digraph	068	180	      fibo	
0.00276	0.00029	0.00265	0.00480	   Digraph	068	180	       bin	
0.00213	0.00004	0.00210	0.00239	   Digraph	068	180	       vec	
0.00278	0.00085	0.00256	0.01070	   Digraph	069	180	      fibo	
0.00291	0.00084	0.00275	0.01101	   Digraph	069	180	       bin	
0.00223	0.00021	0.00215	0.00429	   Digraph	069	180	       vec	
0.00260	0.00030	0.00246	0.00466	   Digraph	070	180	      fibo	
0.00270	0.00021	0.00261	0.00474	   Digraph	070	180	       bin	
0.00235	0.00095	0.00220	0.01155	   Digraph	070	180	       vec	
0.00275	0.00088	0.00252	0.01093	   Digraph	071	180	      fibo	
0.00298	0.00086	0.00277	0.01101	   Digraph	071	180	       bin	
0.00231	0.00022	0.00224	0.00444	   Digraph	071	180	       vec	
0.00275	0.00087	0.00256	0.01107	   Digraph	072	180	      fibo	
0.00295	0.00086	0.00278	0.01122	   Digraph	072	180	       bin	
0.00248	0.00102	0.00231	0.01240	   Digraph	072	180	       vec	
0.00288	0.00088	0.00265	0.01103	   Digraph	073	180	      fibo	
0.00306	0.00086	0.00286	0.01111	   Digraph	073	180	       bin	
0.00243	0.00021	0.00236	0.00445	   Digraph	073	180	       vec	
0.00296	0.00102	0.00275	0.01287	   Digraph	074	180	      fibo	
0.00329	0.00091	0.00306	0.01161	   Digraph	074	180	       bin	
0.00259	0.00100	0.00244	0.01249	   Digraph	074	180	       vec	
0.00289	0.00094	0.00267	0.01177	   Digraph	075	180	      fibo	
0.00312	0.00089	0.00291	0.01156	   Digraph	075	180	       bin	
0.00253	0.00022	0.00246	0.00463	   Digraph	075	180	       vec	
0.00297	0.00092	0.00276	0.01174	   Digraph	076	180	      fibo	
0.00307	0.00080	0.00290	0.01078	   Digraph	076	180	       bin	
0.00266	0.00090	0.00251	0.01143	   Digraph	076	180	       vec	
0.00294	0.00095	0.00267	0.01156	   Digraph	077	180	      fibo	
0.00296	0.00089	0.00278	0.01156	   Digraph	077	180	       bin	
0.00275	0.00112	0.00256	0.01373	   Digraph	077	180	       vec	
0.00305	0.00090	0.00282	0.01147	   Digraph	078	180	      fibo	
0.00302	0.00030	0.00289	0.00506	   Digraph	078	180	       bin	
0.00264	0.00004	0.00261	0.00289	   Digraph	078	180	       vec	
0.00203	0.00077	0.00181	0.00909	   Digraph	079	180	      fibo	
0.00146	0.00086	0.00128	0.00959	   Digraph	079	180	       bin	
0.00252	0.00084	0.00235	0.01059	   Digraph	079	180	       vec	
0.00208	0.00086	0.00185	0.01010	   Digraph	080	180	      fibo	
0.00150	0.00093	0.00130	0.01035	   Digraph	080	180	       bin	
0.00251	0.00024	0.00242	0.00472	   Digraph	080	180	       vec	
0.00321	0.00113	0.00291	0.01142	   Digraph	081	180	      fibo	
0.00323	0.00028	0.00311	0.00519	   Digraph	081	180	       bin	
0.00282	0.00003	0.00279	0.00305	   Digraph	081	180	       vec	
0.00307	0.00077	0.00282	0.01030	   Digraph	082	180	      fibo	
0.00330	0.00088	0.00310	0.01159	   Digraph	082	180	       bin	
0.00299	0.00095	0.00283	0.01218	   Digraph	082	180	       vec	
0.00220	0.00094	0.00193	0.01084	   Digraph	083	180	      fibo	
0.00150	0.00083	0.00134	0.00952	   Digraph	083	180	       bin	
0.00277	0.00088	0.00257	0.01104	   Digraph	083	180	       vec	
0.00334	0.00087	0.00312	0.01134	   Digraph	084	180	      fibo	
0.00360	0.00085	0.00339	0.01159	   Digraph	084	180	       bin	
0.00305	0.00021	0.00297	0.00507	   Digraph	084	180	       vec	
0.00335	0.00087	0.00311	0.01149	   Digraph	085	180	      fibo	
0.00358	0.00088	0.00337	0.01188	   Digraph	085	180	       bin	
0.00310	0.00022	0.00302	0.00519	   Digraph	085	180	       vec	
