REP AVG STDV    MIN MAX GRAPH   ORDER   SIZE    AG
100	0.02121	0.00213	0.01983	0.02985	   Digraph	050	144	      bell	
100	0.00040	0.00001	0.00038	0.00045	   Digraph	050	144	     fbell	
100	0.00126	0.00003	0.00124	0.00137	   Digraph	050	144	      dijk	
100	0.02136	0.00205	0.02007	0.02591	   Digraph	050	147	      bell	
100	0.00043	0.00001	0.00041	0.00049	   Digraph	050	147	     fbell	
100	0.00135	0.00002	0.00132	0.00143	   Digraph	050	147	      dijk	
100	0.02177	0.00220	0.02040	0.03089	   Digraph	050	150	      bell	
100	0.00035	0.00002	0.00033	0.00040	   Digraph	050	150	     fbell	
100	0.00128	0.00002	0.00126	0.00137	   Digraph	050	150	      dijk	
100	0.02206	0.00223	0.02069	0.03085	   Digraph	050	153	      bell	
100	0.00057	0.00002	0.00055	0.00062	   Digraph	050	153	     fbell	
100	0.00132	0.00002	0.00129	0.00141	   Digraph	050	153	      dijk	
100	0.02315	0.00332	0.02125	0.04736	   Digraph	050	156	      bell	
100	0.00037	0.00001	0.00037	0.00047	   Digraph	050	156	     fbell	
100	0.00126	0.00002	0.00125	0.00138	   Digraph	050	156	      dijk	
100	0.02274	0.00226	0.01885	0.02830	   Digraph	050	159	      bell	
100	0.00039	0.00002	0.00038	0.00048	   Digraph	050	159	     fbell	
100	0.00135	0.00003	0.00132	0.00146	   Digraph	050	159	      dijk	
100	0.02332	0.00223	0.02164	0.02810	   Digraph	050	162	      bell	
100	0.00044	0.00001	0.00042	0.00050	   Digraph	050	162	     fbell	
100	0.00140	0.00045	0.00132	0.00581	   Digraph	050	162	      dijk	
100	0.02329	0.00230	0.02185	0.03458	   Digraph	050	165	      bell	
100	0.00042	0.00002	0.00041	0.00051	   Digraph	050	165	     fbell	
100	0.00133	0.00002	0.00131	0.00139	   Digraph	050	165	      dijk	
100	0.02377	0.00216	0.02228	0.02983	   Digraph	050	168	      bell	
100	0.00040	0.00002	0.00038	0.00048	   Digraph	050	168	     fbell	
100	0.00134	0.00002	0.00132	0.00140	   Digraph	050	168	      dijk	
100	0.02408	0.00235	0.02238	0.03095	   Digraph	050	171	      bell	
100	0.00049	0.00002	0.00047	0.00055	   Digraph	050	171	     fbell	
100	0.00136	0.00047	0.00129	0.00604	   Digraph	050	171	      dijk	
100	0.02446	0.00255	0.02257	0.03453	   Digraph	050	174	      bell	
100	0.00051	0.00005	0.00048	0.00093	   Digraph	050	174	     fbell	
100	0.00147	0.00050	0.00131	0.00579	   Digraph	050	174	      dijk	
100	0.02490	0.00369	0.02044	0.05212	   Digraph	050	177	      bell	
100	0.00044	0.00006	0.00040	0.00078	   Digraph	050	177	     fbell	
100	0.00143	0.00026	0.00133	0.00317	   Digraph	050	177	      dijk	
100	0.02534	0.00219	0.02350	0.03059	   Digraph	050	180	      bell	
100	0.00041	0.00002	0.00039	0.00047	   Digraph	050	180	     fbell	
100	0.00137	0.00002	0.00134	0.00151	   Digraph	050	180	      dijk	
100	0.02533	0.00223	0.02374	0.03001	   Digraph	050	183	      bell	
100	0.00042	0.00002	0.00040	0.00048	   Digraph	050	183	     fbell	
100	0.00135	0.00002	0.00132	0.00142	   Digraph	050	183	      dijk	
100	0.02591	0.00235	0.02406	0.03306	   Digraph	050	186	      bell	
100	0.00044	0.00002	0.00043	0.00050	   Digraph	050	186	     fbell	
100	0.00132	0.00046	0.00125	0.00592	   Digraph	050	186	      dijk	
100	0.02613	0.00236	0.02447	0.03422	   Digraph	050	189	      bell	
100	0.00041	0.00002	0.00040	0.00046	   Digraph	050	189	     fbell	
100	0.00136	0.00003	0.00133	0.00151	   Digraph	050	189	      dijk	
100	0.02679	0.00257	0.02485	0.03677	   Digraph	050	192	      bell	
100	0.00041	0.00002	0.00040	0.00046	   Digraph	050	192	     fbell	
100	0.00130	0.00002	0.00128	0.00135	   Digraph	050	192	      dijk	
100	0.02699	0.00333	0.02235	0.04902	   Digraph	050	195	      bell	
100	0.00048	0.00002	0.00047	0.00054	   Digraph	050	195	     fbell	
100	0.00136	0.00003	0.00133	0.00151	   Digraph	050	195	      dijk	
100	0.02714	0.00236	0.02543	0.03503	   Digraph	050	198	      bell	
100	0.00061	0.00002	0.00060	0.00067	   Digraph	050	198	     fbell	
100	0.00138	0.00002	0.00136	0.00146	   Digraph	050	198	      dijk	
100	0.02743	0.00238	0.02569	0.03499	   Digraph	050	201	      bell	
100	0.00048	0.00002	0.00046	0.00056	   Digraph	050	201	     fbell	
100	0.00139	0.00003	0.00136	0.00152	   Digraph	050	201	      dijk	
100	0.02760	0.00243	0.02581	0.03693	   Digraph	050	204	      bell	
100	0.00054	0.00002	0.00052	0.00059	   Digraph	050	204	     fbell	
100	0.00142	0.00044	0.00134	0.00582	   Digraph	050	204	      dijk	
100	0.02818	0.00249	0.02634	0.03676	   Digraph	050	207	      bell	
100	0.00047	0.00002	0.00045	0.00055	   Digraph	050	207	     fbell	
100	0.00145	0.00045	0.00138	0.00593	   Digraph	050	207	      dijk	
100	0.02831	0.00232	0.02655	0.03401	   Digraph	050	210	      bell	
100	0.00059	0.00002	0.00058	0.00066	   Digraph	050	210	     fbell	
100	0.00138	0.00003	0.00136	0.00151	   Digraph	050	210	      dijk	
100	0.02876	0.00319	0.02382	0.04939	   Digraph	050	213	      bell	
100	0.00058	0.00002	0.00057	0.00064	   Digraph	050	213	     fbell	
100	0.00151	0.00044	0.00144	0.00588	   Digraph	050	213	      dijk	
100	0.02888	0.00254	0.02700	0.03958	   Digraph	050	216	      bell	
100	0.00058	0.00002	0.00056	0.00065	   Digraph	050	216	     fbell	
100	0.00138	0.00002	0.00135	0.00145	   Digraph	050	216	      dijk	
100	0.02920	0.00240	0.02736	0.03501	   Digraph	050	219	      bell	
100	0.00046	0.00002	0.00044	0.00052	   Digraph	050	219	     fbell	
100	0.00133	0.00002	0.00131	0.00141	   Digraph	050	219	      dijk	
100	0.02957	0.00239	0.02770	0.03551	   Digraph	050	222	      bell	
100	0.00061	0.00011	0.00054	0.00100	   Digraph	050	222	     fbell	
100	0.00137	0.00003	0.00134	0.00148	   Digraph	050	222	      dijk	
100	0.03009	0.00244	0.02817	0.03664	   Digraph	050	225	      bell	
100	0.00057	0.00002	0.00055	0.00063	   Digraph	050	225	     fbell	
100	0.00141	0.00002	0.00138	0.00150	   Digraph	050	225	      dijk	
100	0.03050	0.00333	0.02530	0.05103	   Digraph	050	228	      bell	
100	0.00055	0.00002	0.00053	0.00061	   Digraph	050	228	     fbell	
100	0.00144	0.00002	0.00142	0.00150	   Digraph	050	228	      dijk	
100	0.03049	0.00248	0.02849	0.03747	   Digraph	050	231	      bell	
100	0.00045	0.00002	0.00043	0.00052	   Digraph	050	231	     fbell	
100	0.00145	0.00044	0.00137	0.00586	   Digraph	050	231	      dijk	
100	0.03079	0.00262	0.02878	0.04288	   Digraph	050	234	      bell	
100	0.00045	0.00002	0.00044	0.00056	   Digraph	050	234	     fbell	
100	0.00143	0.00003	0.00140	0.00158	   Digraph	050	234	      dijk	
100	0.03135	0.00254	0.02931	0.03945	   Digraph	050	237	      bell	
100	0.00057	0.00002	0.00055	0.00062	   Digraph	050	237	     fbell	
100	0.00140	0.00003	0.00137	0.00153	   Digraph	050	237	      dijk	
100	0.03176	0.00257	0.02967	0.03932	   Digraph	050	240	      bell	
100	0.00058	0.00002	0.00056	0.00064	   Digraph	050	240	     fbell	
100	0.00144	0.00003	0.00141	0.00152	   Digraph	050	240	      dijk	
100	0.03216	0.00256	0.03009	0.04002	   Digraph	050	243	      bell	
100	0.00066	0.00002	0.00064	0.00071	   Digraph	050	243	     fbell	
100	0.00180	0.00338	0.00143	0.03545	   Digraph	050	243	      dijk	
100	0.03197	0.00249	0.02699	0.03700	   Digraph	050	246	      bell	
100	0.00051	0.00002	0.00050	0.00057	   Digraph	050	246	     fbell	
100	0.00143	0.00002	0.00141	0.00154	   Digraph	050	246	      dijk	
100	0.03254	0.00258	0.03042	0.03908	   Digraph	050	249	      bell	
100	0.00051	0.00002	0.00050	0.00062	   Digraph	050	249	     fbell	
100	0.00159	0.00057	0.00145	0.00712	   Digraph	050	249	      dijk	
100	0.03263	0.00281	0.03051	0.04782	   Digraph	050	252	      bell	
100	0.00056	0.00002	0.00055	0.00063	   Digraph	050	252	     fbell	
100	0.00148	0.00046	0.00140	0.00603	   Digraph	050	252	      dijk	
100	0.03309	0.00273	0.03093	0.04578	   Digraph	050	255	      bell	
100	0.00056	0.00002	0.00054	0.00062	   Digraph	050	255	     fbell	
100	0.00142	0.00002	0.00140	0.00152	   Digraph	050	255	      dijk	
100	0.03350	0.00271	0.03121	0.04228	   Digraph	050	258	      bell	
100	0.00056	0.00002	0.00054	0.00062	   Digraph	050	258	     fbell	
100	0.00151	0.00044	0.00143	0.00592	   Digraph	050	258	      dijk	
100	0.03399	0.00382	0.02823	0.05996	   Digraph	050	261	      bell	
100	0.00050	0.00002	0.00048	0.00055	   Digraph	050	261	     fbell	
100	0.00151	0.00046	0.00144	0.00605	   Digraph	050	261	      dijk	
100	0.03432	0.00262	0.03201	0.04446	   Digraph	050	264	      bell	
100	0.00055	0.00002	0.00053	0.00062	   Digraph	050	264	     fbell	
100	0.00142	0.00003	0.00139	0.00155	   Digraph	050	264	      dijk	
100	0.03447	0.00246	0.03225	0.04022	   Digraph	050	267	      bell	
100	0.00078	0.00002	0.00076	0.00083	   Digraph	050	267	     fbell	
100	0.00146	0.00003	0.00143	0.00164	   Digraph	050	267	      dijk	
100	0.03494	0.00269	0.03260	0.04534	   Digraph	050	270	      bell	
100	0.00071	0.00002	0.00069	0.00080	   Digraph	050	270	     fbell	
100	0.00144	0.00003	0.00141	0.00152	   Digraph	050	270	      dijk	
100	0.03527	0.00255	0.03303	0.04212	   Digraph	050	273	      bell	
100	0.00077	0.00002	0.00074	0.00082	   Digraph	050	273	     fbell	
100	0.00159	0.00044	0.00151	0.00594	   Digraph	050	273	      dijk	
100	0.03588	0.00395	0.02960	0.06259	   Digraph	050	276	      bell	
100	0.00062	0.00047	0.00055	0.00527	   Digraph	050	276	     fbell	
100	0.00143	0.00004	0.00140	0.00172	   Digraph	050	276	      dijk	
100	0.03582	0.00263	0.03343	0.04318	   Digraph	050	279	      bell	
100	0.00057	0.00002	0.00056	0.00065	   Digraph	050	279	     fbell	
100	0.00152	0.00003	0.00149	0.00161	   Digraph	050	279	      dijk	
100	0.03641	0.00265	0.03401	0.04479	   Digraph	050	282	      bell	
100	0.00061	0.00002	0.00060	0.00066	   Digraph	050	282	     fbell	
100	0.00154	0.00046	0.00147	0.00615	   Digraph	050	282	      dijk	
100	0.03688	0.00269	0.03441	0.04410	   Digraph	050	285	      bell	
100	0.00078	0.00003	0.00075	0.00087	   Digraph	050	285	     fbell	
100	0.00151	0.00003	0.00148	0.00164	   Digraph	050	285	      dijk	
100	0.03659	0.00252	0.03407	0.04134	   Digraph	050	288	      bell	
100	0.00070	0.00002	0.00068	0.00078	   Digraph	050	288	     fbell	
100	0.00147	0.00003	0.00145	0.00158	   Digraph	050	288	      dijk	
100	0.03712	0.00297	0.03088	0.05316	   Digraph	050	291	      bell	
100	0.00088	0.00002	0.00086	0.00094	   Digraph	050	291	     fbell	
100	0.00143	0.00003	0.00140	0.00155	   Digraph	050	291	      dijk	
100	0.03732	0.00257	0.03499	0.04650	   Digraph	050	294	      bell	
100	0.00064	0.00044	0.00058	0.00506	   Digraph	050	294	     fbell	
100	0.00148	0.00003	0.00145	0.00158	   Digraph	050	294	      dijk	
100	0.03765	0.00256	0.03529	0.04584	   Digraph	050	297	      bell	
100	0.00073	0.00002	0.00072	0.00081	   Digraph	050	297	     fbell	
100	0.00151	0.00004	0.00148	0.00167	   Digraph	050	297	      dijk	
100	0.03832	0.00271	0.03572	0.04784	   Digraph	050	300	      bell	
100	0.00065	0.00002	0.00063	0.00073	   Digraph	050	300	     fbell	
100	0.00158	0.00047	0.00150	0.00621	   Digraph	050	300	      dijk	
100	0.03871	0.00317	0.03209	0.05575	   Digraph	050	303	      bell	
100	0.00072	0.00002	0.00070	0.00078	   Digraph	050	303	     fbell	
100	0.00151	0.00003	0.00148	0.00166	   Digraph	050	303	      dijk	
100	0.03889	0.00287	0.03608	0.04625	   Digraph	050	306	      bell	
100	0.00067	0.00002	0.00065	0.00075	   Digraph	050	306	     fbell	
100	0.00156	0.00004	0.00152	0.00179	   Digraph	050	306	      dijk	
100	0.03888	0.00277	0.03629	0.05153	   Digraph	050	309	      bell	
100	0.00079	0.00002	0.00076	0.00087	   Digraph	050	309	     fbell	
100	0.00152	0.00002	0.00149	0.00158	   Digraph	050	309	      dijk	
100	0.03901	0.00264	0.03638	0.04932	   Digraph	050	312	      bell	
100	0.00053	0.00002	0.00051	0.00059	   Digraph	050	312	     fbell	
100	0.00149	0.00003	0.00147	0.00159	   Digraph	050	312	      dijk	
100	0.03964	0.00305	0.03303	0.05425	   Digraph	050	315	      bell	
100	0.00062	0.00001	0.00062	0.00071	   Digraph	050	315	     fbell	
100	0.00152	0.00047	0.00142	0.00620	   Digraph	050	315	      dijk	
100	0.03998	0.00268	0.03730	0.04491	   Digraph	050	318	      bell	
100	0.00085	0.00002	0.00083	0.00091	   Digraph	050	318	     fbell	
100	0.00157	0.00003	0.00154	0.00169	   Digraph	050	318	      dijk	
100	0.04051	0.00293	0.03768	0.05236	   Digraph	050	321	      bell	
100	0.00065	0.00002	0.00063	0.00069	   Digraph	050	321	     fbell	
100	0.00158	0.00046	0.00149	0.00617	   Digraph	050	321	      dijk	
100	0.04091	0.00290	0.03777	0.05254	   Digraph	050	324	      bell	
100	0.00082	0.00007	0.00076	0.00121	   Digraph	050	324	     fbell	
100	0.00153	0.00024	0.00143	0.00301	   Digraph	050	324	      dijk	
100	0.04181	0.00350	0.03838	0.05290	   Digraph	050	327	      bell	
100	0.00085	0.00003	0.00082	0.00104	   Digraph	050	327	     fbell	
100	0.00150	0.00003	0.00146	0.00168	   Digraph	050	327	      dijk	
100	0.04165	0.00357	0.03458	0.06414	   Digraph	050	330	      bell	
100	0.00065	0.00002	0.00063	0.00076	   Digraph	050	330	     fbell	
100	0.00152	0.00003	0.00149	0.00160	   Digraph	050	330	      dijk	
100	0.04156	0.00268	0.03878	0.04984	   Digraph	050	333	      bell	
100	0.00066	0.00002	0.00064	0.00073	   Digraph	050	333	     fbell	
100	0.00150	0.00003	0.00147	0.00160	   Digraph	050	333	      dijk	
100	0.04181	0.00278	0.03907	0.05390	   Digraph	050	336	      bell	
100	0.00057	0.00002	0.00055	0.00064	   Digraph	050	336	     fbell	
100	0.00154	0.00003	0.00151	0.00162	   Digraph	050	336	      dijk	
100	0.04248	0.00279	0.03971	0.05538	   Digraph	050	339	      bell	
100	0.00061	0.00002	0.00060	0.00069	   Digraph	050	339	     fbell	
100	0.00151	0.00003	0.00148	0.00163	   Digraph	050	339	      dijk	
100	0.04304	0.00326	0.03653	0.06169	   Digraph	050	342	      bell	
100	0.00076	0.00003	0.00074	0.00086	   Digraph	050	342	     fbell	
100	0.00159	0.00005	0.00152	0.00174	   Digraph	050	342	      dijk	
100	0.04278	0.00264	0.03982	0.05031	   Digraph	050	345	      bell	
100	0.00075	0.00002	0.00073	0.00087	   Digraph	050	345	     fbell	
100	0.00159	0.00044	0.00151	0.00597	   Digraph	050	345	      dijk	
100	0.04324	0.00279	0.04041	0.05593	   Digraph	050	348	      bell	
100	0.00065	0.00002	0.00063	0.00075	   Digraph	050	348	     fbell	
100	0.00156	0.00003	0.00152	0.00164	   Digraph	050	348	      dijk	
100	0.04399	0.00259	0.04123	0.05222	   Digraph	050	351	      bell	
100	0.00075	0.00002	0.00072	0.00081	   Digraph	050	351	     fbell	
100	0.00157	0.00046	0.00149	0.00618	   Digraph	050	351	      dijk	
100	0.04452	0.00338	0.03700	0.06115	   Digraph	050	354	      bell	
100	0.00072	0.00002	0.00070	0.00082	   Digraph	050	354	     fbell	
100	0.00161	0.00003	0.00158	0.00171	   Digraph	050	354	      dijk	
100	0.04423	0.00272	0.04152	0.05638	   Digraph	050	357	      bell	
100	0.00078	0.00002	0.00076	0.00085	   Digraph	050	357	     fbell	
100	0.00165	0.00045	0.00157	0.00608	   Digraph	050	357	      dijk	
100	0.04520	0.00325	0.04179	0.05826	   Digraph	050	360	      bell	
100	0.00068	0.00003	0.00066	0.00089	   Digraph	050	360	     fbell	
100	0.00155	0.00004	0.00151	0.00172	   Digraph	050	360	      dijk	
100	0.04539	0.00352	0.04171	0.05985	   Digraph	050	363	      bell	
100	0.00071	0.00002	0.00069	0.00082	   Digraph	050	363	     fbell	
100	0.00156	0.00003	0.00153	0.00166	   Digraph	050	363	      dijk	
100	0.04560	0.00319	0.04231	0.05890	   Digraph	050	366	      bell	
100	0.00086	0.00002	0.00084	0.00094	   Digraph	050	366	     fbell	
100	0.00161	0.00003	0.00158	0.00168	   Digraph	050	366	      dijk	
100	0.04573	0.00363	0.03830	0.06851	   Digraph	050	369	      bell	
100	0.00067	0.00002	0.00065	0.00076	   Digraph	050	369	     fbell	
100	0.00151	0.00003	0.00149	0.00158	   Digraph	050	369	      dijk	
100	0.04649	0.00299	0.04312	0.05847	   Digraph	050	372	      bell	
100	0.00076	0.00002	0.00074	0.00084	   Digraph	050	372	     fbell	
100	0.00155	0.00004	0.00152	0.00171	   Digraph	050	372	      dijk	
100	0.04679	0.00292	0.04364	0.05981	   Digraph	050	375	      bell	
100	0.00066	0.00002	0.00065	0.00073	   Digraph	050	375	     fbell	
100	0.00161	0.00004	0.00157	0.00170	   Digraph	050	375	      dijk	
100	0.04727	0.00296	0.04407	0.06050	   Digraph	050	378	      bell	
100	0.00069	0.00002	0.00067	0.00078	   Digraph	050	378	     fbell	
100	0.00164	0.00047	0.00156	0.00627	   Digraph	050	378	      dijk	
100	0.04705	0.00335	0.03902	0.06322	   Digraph	050	381	      bell	
100	0.00090	0.00004	0.00087	0.00105	   Digraph	050	381	     fbell	
100	0.00156	0.00003	0.00154	0.00166	   Digraph	050	381	      dijk	
100	0.04677	0.00257	0.04367	0.05508	   Digraph	050	384	      bell	
100	0.00090	0.00002	0.00088	0.00100	   Digraph	050	384	     fbell	
100	0.00159	0.00003	0.00157	0.00170	   Digraph	050	384	      dijk	
100	0.04782	0.00310	0.04414	0.06094	   Digraph	050	387	      bell	
100	0.00065	0.00002	0.00063	0.00075	   Digraph	050	387	     fbell	
100	0.00158	0.00004	0.00155	0.00172	   Digraph	050	387	      dijk	
100	0.04771	0.00273	0.04448	0.05959	   Digraph	050	390	      bell	
100	0.00073	0.00004	0.00070	0.00089	   Digraph	050	390	     fbell	
100	0.00157	0.00003	0.00153	0.00171	   Digraph	050	390	      dijk	
100	0.04794	0.00334	0.04034	0.06463	   Digraph	050	393	      bell	
100	0.00087	0.00003	0.00085	0.00097	   Digraph	050	393	     fbell	
100	0.00162	0.00003	0.00159	0.00173	   Digraph	050	393	      dijk	
100	0.04832	0.00293	0.04490	0.06275	   Digraph	050	396	      bell	
100	0.00086	0.00002	0.00084	0.00095	   Digraph	050	396	     fbell	
100	0.00161	0.00003	0.00158	0.00169	   Digraph	050	396	      dijk	
100	0.04877	0.00265	0.04507	0.05714	   Digraph	050	399	      bell	
